node_name,count,patient_list,DDTRequestTime,KSRequestTime,KSTimeCommunication,KSTimeExec,TaggingTimeCommunication,TaggingTimeExec,medco-connector-DDT,medco-connector-i2b2-PDO,medco-connector-i2b2-PSM,medco-connector-local-agg,medco-connector-local-patient-list-masking,medco-connector-overall,medco-connector-unlynx-key-switch-count,medco-connector-unlynx-key-switch-patient-list
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,31,27,0,11,2,20,132,1192,0,8,1399,11,33
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],20,34,29,0,11,2,21,117,1266,0,8,1463,12,35
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,33,28,0,10,2,18,125,1394,0,8,1593,10,34
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,25,20,0,11,2,19,98,1167,0,8,1332,10,26
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,28,23,0,11,3,19,139,1163,0,9,1373,9,30
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,33,29,0,9,2,18,113,997,0,9,1186,12,35
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,26,22,0,10,1,17,99,988,0,6,1149,9,27
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,32,26,0,8,2,18,97,1115,0,9,1289,12,35
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,32,26,0,11,2,19,96,1186,0,8,1355,9,35
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,31,26,0,10,1,17,106,1059,0,7,1236,11,32
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,34,29,0,9,2,18,107,1019,0,9,1203,11,35
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,27,23,0,10,2,17,105,1298,0,7,1471,11,29
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,34,29,0,8,2,17,96,1113,0,9,1284,10,36
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,31,26,0,11,1,17,106,935,0,6,1109,10,32
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],13,29,24,0,8,1,14,109,1037,0,8,1211,9,30
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],20,30,26,0,12,2,21,97,1051,0,7,1222,11,32
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,32,28,0,10,1,17,106,1075,0,7,1253,10,34
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,33,28,0,11,1,19,124,1133,0,9,1334,10,35
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,30,24,0,9,2,18,115,969,0,9,1156,10,32
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,25,21,0,11,2,20,90,1025,0,9,1183,9,27
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,30,25,0,10,2,20,172,962,0,4,1202,10,31
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,28,23,0,11,3,20,97,989,0,9,1159,11,30
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,32,28,0,9,2,18,87,969,0,7,1129,11,34
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,31,26,0,10,1,18,89,1018,0,9,1181,11,33
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,29,23,0,10,2,18,80,964,0,6,1114,11,31
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,35,31,0,10,1,18,131,911,0,9,1120,11,37
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,33,28,0,10,2,17,97,1081,0,9,1253,11,35
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,30,26,0,10,2,19,100,1013,0,8,1186,11,32
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,33,28,0,9,2,18,81,1119,0,7,1272,9,34
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,32,27,0,10,2,17,108,1393,0,7,1572,11,33
